,position,reverse,coefficient,imodulon
b3600,3774423,False,-0.0579536172684,Crp-2
b3476,3613666,False,-0.0619274734509,Crp-2
b3599,3772280,False,-0.0632956357206,Crp-2
b3881,4072851,True,0.295923397452,CsqR
b3882,4073771,True,0.287140129062,CsqR
b3878,4069476,True,0.276714993145,CsqR
b3880,4071956,True,0.271183048011,CsqR
b3879,4070601,True,0.265271123229,CsqR
b3877,4067394,True,0.253858165166,CsqR
b3875,4064495,True,0.243705582099,CsqR
b3883,4073738,False,0.226011732218,CsqR
b3876,4065966,True,0.210268427481,CsqR
b3884,4074668,False,0.107583276934,CsqR
b2425,2543728,True,0.25009687874,CysB
b2752,2876529,True,0.238254515947,CysB
b2764,2892098,True,0.23392962014,CysB
b2424,2542712,True,0.231291113151,CysB
b1287,1350307,True,0.212130205854,CysB
b2763,2890299,True,0.204021975988,CysB
b2423,2541879,True,0.199604497339,CysB
b2751,2875619,True,0.186811507304,CysB
b2750,2874192,True,0.177804128077,CysB
b2013,2085725,True,0.17298123317,CysB
b2422,2541014,True,0.17058561811,CysB
b2762,2888512,True,0.160717635163,CysB
b2012,2084653,True,0.153065915036,CysB
b1729,1810933,False,0.147789329584,CysB
b3917,4108833,False,0.137979106934,CysB
b1987,2061114,True,0.123162752965,CysB
b2414,2532408,False,0.116958338028,CysB
b0828,866567,False,0.0784856897103999,CysB
b0829,867519,False,0.0778972801738,CysB
b2421,2539783,True,0.0774580594502,CysB
b1920,2000585,True,0.0726452540376,CysB
b1199,1249957,True,0.236034901933,DhaR/Mlc
b1200,1251038,True,0.235419197549,DhaR/Mlc
b1198,1249314,True,0.218730126158,DhaR/Mlc
b3599,3772280,False,0.158208320776,DhaR/Mlc
b2943,3088283,False,0.152910741801,DhaR/Mlc
b3600,3774423,False,0.124124200073,DhaR/Mlc
b1818,1903081,False,0.116913045167,DhaR/Mlc
b1101,1157868,False,0.116221056195,DhaR/Mlc
b1817,1902047,False,0.11594412725,DhaR/Mlc
b1819,1903894,False,0.106110203971,DhaR/Mlc
b2416,2534065,False,-0.29974104516,DhaR/Mlc
b2375,2494602,True,0.311186268924,EvgA
b2374,2493454,True,0.281061590869,EvgA
b1597,1671375,False,0.277402124699,EvgA
b2373,2492150,True,0.251293639975,EvgA
b2372,2490386,True,0.246215465912,EvgA
b1499,1583887,True,0.243266791505,EvgA
b2085,2168506,True,0.210130217898,EvgA
b1501,1586686,True,0.178046327985,EvgA
b2376,2494697,False,0.176085683361,EvgA
b2371,2489368,True,0.1752032451969999,EvgA
b2368,2483539,True,0.168250543971,EvgA
b2367,2482376,True,0.140348645065,EvgA
b2082,2167720,True,0.115918514285,EvgA
b1469,1544260,True,0.0970797661357,EvgA
b1223,1277956,False,0.0885040976458999,EvgA
b1466,1537509,True,0.0798440711658999,EvgA
b1467,1539053,True,0.0764122794084,EvgA
b1468,1542790,True,0.0729192550784,EvgA
b4354,4591479,True,0.0680037620706,EvgA
b2106,2185916,False,-0.0786603373806,EvgA
b2800,2933888,True,0.309758025969,ExuR/FucR
b2801,2934234,False,0.283474871409,ExuR/FucR
b2802,2935583,False,0.268880489973,ExuR/FucR
b2799,2933213,True,0.240165439027,ExuR/FucR
b2803,2937467,False,0.219014861087,ExuR/FucR
b1521,1610880,True,0.180819233457,ExuR/FucR
b3092,3244941,True,0.170713618851,ExuR/FucR
b3091,3243514,True,0.162493073555,ExuR/FucR
b2804,2938887,False,0.159586590975,ExuR/FucR
b3011,3155354,False,0.132016426918,ExuR/FucR
b2172,2266244,False,0.116642878135,ExuR/FucR
b3093,3245223,False,0.108942657434,ExuR/FucR
b0268,282277,False,0.0893530965039,ExuR/FucR
b4025,4233757,False,0.0880608580031999,ExuR/FucR
b0269,283200,False,0.0821940520236,ExuR/FucR
b0221,243503,True,0.231168572182,FadR
b3846,4031171,True,0.21041863573,FadR
b3845,4028972,True,0.192928657776,FadR
b0443,464401,False,0.173004739203,FadR
b2342,2460669,True,0.1625170577019999,FadR
b2341,2459359,True,0.161328523502,FadR
b3081,3231664,False,0.1336429307619999,FadR
b3963,4161123,False,0.111865145192,FadR
b4015,4217108,False,0.0838624068697,FadR
b1949,2022615,False,-0.0840007581257,FadR
b0954,1016670,True,-0.1331738421619999,FadR
b0557,579093,True,-0.14296780835,FadR
b1187,1234937,False,-0.321675130489,FadR
b4291,4516877,True,0.243163208076,FecI
b4290,4514508,True,0.207833656956,FecI
b4289,4513609,True,0.189965688734,FecI
b4288,4512614,True,0.156310855655,FecI
b4287,4511657,True,0.139526235512,FecI
b4039,4252505,False,0.114675454178,FecI
b0595,627693,False,0.0859372616384,FecI
b4490_2,1081459,False,-0.120450292029,FecI
b1019,1083375,False,-0.120649681668,FecI
b1018,1082242,False,-0.132147850269,FecI
b1073,1131017,False,0.245173926538,FlhDC
b1074,1131437,False,0.231061325388,FlhDC
b1922,2001989,True,0.230495438595,FlhDC
b1075,1131853,False,0.228282968509,FlhDC
b1076,1132573,False,0.209776364269,FlhDC
b1077,1133801,False,0.200984114945,FlhDC
b1944,2019617,False,0.190346939086,FlhDC
b1938,2013228,False,0.183944288715,FlhDC
b1078,1134728,False,0.17159459921,FlhDC
b1945,2020086,False,0.163980421524,FlhDC
b1946,2021087,False,0.15664121335,FlhDC
b1939,2014879,False,0.155948056478,FlhDC
b1941,2016553,False,0.155776705606,FlhDC
b1940,2015867,False,0.155413537129,FlhDC
b1937,2013214,True,0.151690176814,FlhDC
b1079,1135563,False,0.150147589025,FlhDC
b1880,1966391,True,0.148750311362,FlhDC
b1072,1131063,True,0.142878645084,FlhDC
b1904,1988221,False,0.138629720472,FlhDC
b1081,1137370,False,0.138031031847,FlhDC
b1080,1136273,False,0.137912436775,FlhDC
b1942,2017945,False,0.134658336498,FlhDC
b1921,2001224,True,0.13317570517,FlhDC
b1947,2021503,False,0.127436221445,FlhDC
b1948,2021868,False,0.11725128956,FlhDC
b1943,2018385,False,0.109954701711,FlhDC
b1878,1963172,True,0.0917758189158,FlhDC
b1044,1105413,False,0.0914178245999,FlhDC
b1924,2003871,False,0.0905489387388,FlhDC
b1949,2022615,False,0.0854987342076,FlhDC
b1082,1138377,False,0.084986807394,FlhDC
b1071,1130328,True,0.0777305325315,FlhDC
b1879,1965250,True,0.0775280722746,FlhDC
b1070,1130030,True,0.0769540365418,FlhDC
b1925,2005302,False,0.0717434667769,FlhDC
b1083,1140032,False,0.0652484503914,FlhDC
b1926,2005712,False,0.0584802333925,FlhDC
b3525,3679387,True,0.058446405113,FlhDC
b1950,2022892,False,0.0572218627863,FlhDC
b1891,1978044,True,0.051025442502,FlhDC
b1892,1978397,True,0.0498454757865,FlhDC
b1923,2003806,True,0.240685269368,FliA
b1886,1972891,True,0.226284475887,FliA
b1885,1971184,True,0.215075445769,FliA
b1194,1244727,True,0.212923548261,FliA
b3525,3679387,True,0.207409107491,FliA
b1888,1975524,True,0.204411332866,FliA
b1887,1973539,True,0.20212372201,FliA
b1884,1969564,True,0.200504697703,FliA
b1890,1977339,True,0.198763354914,FliA
b4355,4591656,False,0.194812697312,FliA
b1889,1976455,True,0.192128161971,FliA
b1882,1967637,True,0.187182151789,FliA
b1883,1968701,True,0.180119409589,FliA
b1881,1967237,True,0.1723335782449999,FliA
b1566,1646404,False,0.164854154074,FliA
b1742,1825137,True,0.14641482183,FliA
b4110,4329359,False,0.135226767387,FliA
b1924,2003871,False,0.130240149013,FliA
b1760,1842335,True,0.122475984164,FliA
b1421,1492469,False,0.120502342502,FliA
b3666,3847367,True,0.118507786264,FliA
b1082,1138377,False,0.11334325415,FliA
b1083,1140032,False,0.10578761772,FliA
b1925,2005302,False,0.101596937263,FliA
b1926,2005712,False,0.0957463606759,FliA
b3072,3219276,True,0.0898101773253,FliA
b1071,1130328,True,0.0784773305487,FliA
b1070,1130030,True,0.0712023691587,FliA
b0763,795088,False,0.0549330959124999,FliA
b0764,795861,False,0.0526360655136,FliA
b3158,3301484,False,0.243397537573,Fnr
b3476,3613666,False,0.20876312522,Fnr
b1750,1833400,False,0.18372128287,Fnr
b1593,1667419,True,0.1745810686099999,Fnr
b1256,1314019,False,0.172652856887,Fnr
b2579,2716649,True,0.16614338164,Fnr
b3060,3206456,True,0.160754716851,Fnr
b3408,3540162,False,0.132607066909,Fnr
b3365,3494010,False,0.127553324813,Fnr
b1223,1277956,False,0.126690025712,Fnr
b0836,878247,False,0.122766570913,Fnr
b2208,2303697,True,0.120883624421,Fnr
b1541,1629214,False,0.120726372568,Fnr
b3211,3354250,True,0.114647681233,Fnr
b1751,1834115,False,0.114211048125,Fnr
b1587,1658068,False,0.114203394969,Fnr
b0904,954666,True,0.113294711562,Fnr
b3159,3302488,False,0.108770902713,Fnr
b0894,940958,False,0.103256069549,Fnr
b4380,4617265,True,0.0997795340653,Fnr
b1906,1989690,True,0.0984292720125,Fnr
b2207,2303213,True,0.0933457062316,Fnr
b1785,1870384,False,0.0919172942239,Fnr
b4582_1,2068634,False,0.0916198054711,Fnr
b1474,1547400,False,0.0915144899056,Fnr
b4238,4462860,True,0.0877960143161,Fnr
b1757,1839466,False,0.0853985814903999,Fnr
b1224,1279863,False,0.0790628631397,Fnr
b2727,2851000,False,0.0772091106356,Fnr
b3477,3615240,False,0.0684329000795,Fnr
b0919,971751,False,0.0678446375423,Fnr
b3409,3540406,False,0.0669117686157,Fnr
b2997,3146461,True,0.0652994744068,Fnr
b4139,4368527,True,0.0637131902477,Fnr
b4154,4382518,True,0.063658614748,Fnr
b0715,747969,True,0.0618519947399999,Fnr
b0621,656168,True,0.0597749559287,Fnr
b3366,3496550,False,0.0589507351535,Fnr
b2298,2417080,False,0.0566817903583,Fnr
b2531,2662331,True,-0.0940968102473,Fnr
b2155,2246969,True,0.247534135813,Fur-1
b0584,612694,True,0.24747058241,Fur-1
b0805,841731,True,0.245032464549,Fur-1
b0586,614156,False,0.206488459956,Fur-1
b0585,612736,False,0.197510070687,Fur-1
b0594,626069,False,0.173521108128,Fur-1
b0595,627693,False,0.172764171299,Fur-1
b0804,839407,True,0.169381770941,Fur-1
b0583,610279,True,0.169132413924,Fur-1
b0593,624884,False,0.166298635076,Fur-1
b1102,1161751,True,0.164437755738,Fur-1
b4511,613941,False,0.161348872468,Fur-1
b0596,628550,False,0.155965060867,Fur-1
b0597,629299,False,0.149544833218,Fur-1
b2676,2803501,False,0.124804390152,Fur-1
b4567,4605803,False,0.120401479681,Fur-1
b2675,2801347,False,0.119478124036,Fur-1
b2674,2800964,False,0.115032415854,Fur-1
b0591,622299,False,0.107136989078,Fur-1
b1705,1789612,False,0.106152587503,Fur-1
b1452,1523306,False,0.104934937545,Fur-1
b2673,2800722,False,0.104328374318,Fur-1
b0588,620399,True,0.103335228459,Fur-1
b0589,621388,True,0.0960844715708999,Fur-1
b0590,622389,True,0.0896797585327,Fur-1
b1681,1761991,True,0.0860804647248,Fur-1
b0592,624710,True,0.0852274187136,Fur-1
b1679,1759490,True,0.0840601850822,Fur-1
b4292,4517917,True,0.0826803411301,Fur-1
b1684,1764586,True,0.0822508752499,Fur-1
b1683,1764209,True,0.0811732549523999,Fur-1
b1680,1760723,True,0.0809211122336,Fur-1
b1682,1762712,True,0.0805192359502,Fur-1
b1495,1577819,True,0.078044557095,Fur-1
b1496,1579542,True,0.076585866514,Fur-1
b4293,4518435,True,0.0762288510894,Fur-1
b0587,618253,False,0.0681756976187,Fur-1
b4582_1,2068634,False,0.067788776119,Fur-1
b1494,1575402,True,0.0672987229365,Fur-1
b4291,4516877,True,0.0637641495909,Fur-1
b0803,838656,True,0.0632121512371999,Fur-1
b0152,170574,False,0.0616585188405,Fur-1
b0151,169777,False,0.0582586843865999,Fur-1
b0153,171461,False,0.057953499085,Fur-1
b3070,3216691,True,0.054751406672,Fur-1
b4640_1,2068092,True,-0.058391580964,Fur-1
b3336,3466925,True,-0.0602569690508,Fur-1
b1656,1735377,False,-0.104642390887,Fur-1
b4367,4605863,True,0.240631595533,Fur-2
b0150,167483,False,0.190665306708,Fur-2
b0590,622389,True,0.147706539127,Fur-2
b3337,3467191,True,0.145295786852,Fur-2
b0591,622299,False,0.130018473155,Fur-2
b3006,3152184,True,0.126099035894,Fur-2
b3408,3540162,False,0.122971197272,Fur-2
b0588,620399,True,0.121926051647,Fur-2
b1252,1311088,False,0.121358066797,Fur-2
b0589,621388,True,0.120050087615,Fur-2
b2211,2308815,True,0.112918766484,Fur-2
b0151,169777,False,0.112336038467,Fur-2
b3409,3540406,False,0.111661233136,Fur-2
b3005,3151443,True,0.110469777831,Fur-2
b0585,612736,False,0.106237233076,Fur-2
b4293,4518435,True,0.096470483112,Fur-2
b0152,170574,False,0.0960388287408,Fur-2
b0468,490881,False,0.0931433957561,Fur-2
b1452,1523306,False,0.0930816692558,Fur-2
b0592,624710,True,0.0911503517565,Fur-2
b2673,2800722,False,0.0906191728557,Fur-2
b3515,3664818,True,0.0898283204175,Fur-2
b4490_2,1081459,False,0.0877845815092,Fur-2
b2146,2234032,False,-0.089343235743,Fur-2
b1673,1754030,True,-0.0989933934026,Fur-2
b1674,1754677,True,-0.123377339133,Fur-2
b1905,1988715,False,-0.127220243044,Fur-2
b3512,3658365,False,0.371197901609,GadEWX
b3509,3656492,True,0.331912266925,GadEWX
b3517,3667780,True,0.306228657076,GadEWX
b1493,1572245,True,0.303796576299,GadEWX
b3511,3656994,False,0.292788875826,GadEWX
b3510,3656940,True,0.287175197929,GadEWX
b3508,3656102,True,0.281193244534,GadEWX
b1492,1570689,True,0.275228283465,GadEWX
b3491,3634840,False,0.167656561444,GadEWX
b3506,3653960,False,0.0807964388969,GadEWX
b4187,4414274,False,0.0764993816544,GadEWX
b3513,3659231,False,0.074701915723,GadEWX
b3507,3654682,False,0.0616176797877,GadEWX
b3514,3660413,False,0.0528286578109,GadEWX
b4377,4612410,False,0.0495773298807,GadEWX
b0485,511640,False,0.0490756174157,GadEWX
b3515,3664818,True,-0.0577513940671999,GadEWX
b3516,3666010,True,0.296672209595,GadWX
b3506,3653960,False,0.203207918157,GadWX
